name,actual price,current price,rating,reviews
XO G8 ENC Noise Canceling Wireless Earbuds,"Rs  5,500","Rs  3,599",,
XO X7 Wireless Earbuds,"Rs  4,500","Rs  3,649",,
Zero Z-811 Wireless Earbuds,"Rs  9,999","Rs  3,999",4.6,7
Zero Arcade 900 Wireless Earbuds,"Rs  17,999","Rs  6,999",,
Zero Wave Wireless Earbuds,"Rs  14,999","Rs  3,499",,
Westpoint TWS Earbuds WP-100,"Rs  7,800","Rs  4,875",,
Westpoint Sport Earphone WP-155,"Rs  4,420","Rs  2,749",5.0,1
Dudao U18 TWS Wireless Earphones,"Rs  4,500","Rs  3,299",,
SiGMA Wireless Earbuds Wave t4 TWS,"Rs  4,449","Rs  3,399",,
Marshall Major V Headphones,"Rs  51,000","Rs  42,499",,
Borofone BW39 True Wireless Bluetooth Earphone,"Rs  5,000","Rs  3,299",,
Bose QC Ultra Headphones,"Rs  125,000","Rs  111,999",,
Mars MB-11 Wireless Earbuds,"Rs  3,000","Rs  1,699",,
HiFuture ColorBuds2 True Wireless Earphone,"Rs  7,000","Rs  5,299",,
HiFuture FutureTour Over Ear ANC Headphones,"Rs  11,500","Rs  9,799",,
QCY T7 True Wireless Earbuds,"Rs  3,999","Rs  3,549",,
Realme Dizo Gopods D (DA-2002),"Rs  5,600","Rs  4,849",5.0,5
Joyroom True Wireless Earphone (JR-T03S),"Rs  7,500","Rs  6,799",5.0,1
Joyroom Mini Portable TWS Headphone (JR-TL1 Pro),"Rs  6,000","Rs  4,999",5.0,4
Joyroom T03S Pro Earbuds ANC Pop Up Version,"Rs  13,500","Rs  9,999",5.0,1
Anker SoundCore Space A40 Noise Cancelling Earbuds,"Rs  21,000","Rs  13,499",5.0,2
FASTER R18 OWS AIRVIBE ENC,"Rs  7,000","Rs  5,599",5.0,1
Aukey TWS Wireless Earbuds (EP-M1S),"Rs  7,000","Rs  5,499",5.0,1
Aukey True Wireless ANC Earbuds Black (EP-M1NC),"Rs  10,000","Rs  9,199",,
Anker Soundcore AeroFit Open-Ear Buds,"Rs  30,000","Rs  22,999",,
Soundpeats Sonic Pro Wireless Earbuds,"Rs  13,500","Rs  10,899",4.6,4
SoundPEATS HearFit Sports Headphones,"Rs  13,499","Rs  10,249",,
M66 TWS Gaming Wireless Earbuds,"Rs  2,500","Rs  1,199",4.8,13
DX-05 TWS Wireless Bluetooth Earbuds,"Rs  3,000","Rs  2,149",,
A9 PRO Tws in-Ear Earbuds Anc Wireless Earphones,"Rs  5,000","Rs  2,999",4.3,2
At08 Ultra ENC Earbuds,"Rs  3,000","Rs  2,099",,
TF20 Box 3in1 Earbuds With Power Bank & Multimedia Display,"Rs  8,000","Rs  4,999",,
Sunglasses Sport Bluetooth Wireless Headset,"Rs  3,500","Rs  1,999",,
DDK 339 Wireless Bluetooth Headphones,"Rs  3,500","Rs  2,099",,
JITENG-JT-813 Wired Gaming Headphones With Mic,"Rs  3,000","Rs  1,849",,
M21 Tws Wireless Earbuds,"Rs  3,000","Rs  1,799",,
Hottu TWS Earbuds HOT-TS17,"Rs  6,000","Rs  4,299",,
Hottu TWS Earphone HOT-TS15,"Rs  5,800","Rs  3,849",,
Xcess XB 27 True Wireless Stereo Earbuds,"Rs  4,000","Rs  3,399",,
XO X19 Ark Digital Display TWS Bluetooth Earbuds,"Rs  3,500","Rs  2,849",5.0,1
XO X15 Soundwave Sports TWS Bluetooth Earbuds,"Rs  4,500","Rs  3,499",,
XO BE18 Portable Wireless Bluetooth Headset,"Rs  5,000","Rs  4,139",5.0,1
XO G9 Chime ENC Wireless Earbuds,"Rs  5,500","Rs  4,499",,
XO BE39 Foldable Bluetooth Headset,"Rs  7,000","Rs  4,099",5.0,1
Zero Rover Wireless Earbuds,"Rs  10,000","Rs  4,499",4.8,24
Dizo GoPods with Active Noise Cancellation by Realme TechLife,"Rs  11,999","Rs  9,999",,
Westpoint TWS Earbuds WP-105,"Rs  9,000","Rs  5,625",,
SiGMA Wireless EarBuds WAVE T5 TWS,"Rs  5,600","Rs  4,499",,
Borofone BE55 Perfect TWS Earbuds,"Rs  5,000","Rs  3,599",,
Hajex Bliss Series ZEN 02 Wireless Airpods,"Rs  6,499","Rs  4,399",,
Hajex Zen Series 01 True Wireless Earphone,"Rs  5,499","Rs  3,899",,
Bose QC Headphones,"Rs  96,000","Rs  85,999",,
Remax PD-BT533N Airpods Pro ANC,"Rs  5,500","Rs  3,149",,
Remax CozyPods W30N ANC,"Rs  6,000","Rs  3,849",,
Mars MB-10 Wireless Earbuds,"Rs  2,200","Rs  1,699",,
Mars MB-12 Wireless Earbuds,,"Rs  13,399",,
HiFuture FutureMate Pro Wireless Open Ear Earphones,"Rs  12,000","Rs  10,299",,
HiFuture SonicAir True Wireless Bluetooth Earphones,"Rs  8,000","Rs  6,299",,
Joyroom Bluetooth Wireless Headphone (JR-HL1),"Rs  7,000","Rs  6,349",5.0,3
Joyroom Cozydots Series JR-TS2 True Wireless Sleep Earbuds,"Rs  13,999","Rs  10,999",,
Joyroom R-TS3 True Wireless Sleep Earbuds,"Rs  11,000","Rs  8,399",,
Joyroom Jdots Series JR-DB2 True Wireless Earbuds,"Rs  8,500","Rs  7,099",,
Anker AeroFit Superior Comfort Open-Ear,"Rs  50,000","Rs  32,999",,
Ambie Sound Earcuffs wireless Earphone,"Rs  3,000","Rs  1,799",5.0,2
Remax RB-S2 Sports Magnet Wireless Bluetooth,"Rs  3,000","Rs  1,899",,
Yolo YOBLOX Wireless Earbuds,"Rs  5,499","Rs  4,299",,
Yolo mars H1 Wireless Headphones,"Rs  5,999","Rs  4,499",,
Awei T53 Pro Gaming Wireless Earbuds,"Rs  4,999","Rs  4,149",5.0,1
OnePlus Wireless Buds Z2,"Rs  16,000","Rs  14,899",5.0,1
OnePlus Buds Pro 2,,"Rs  37,999",5.0,2
ASPOR A615 AIRPODS 3,"Rs  3,999","Rs  3,349",4.8,3
XO BE40 ANC Noise Cancelling Bluetooth Headset,"Rs  8,500","Rs  6,699",5.0,1
XO ET32 Third Generation ANC Wireless Earbuds,"Rs  5,000","Rs  4,099",4.0,1
EarFun Free 2S Wireless Earbuds,"Rs  14,000","Rs  9,299",,
QCY H2 Pro Wireless Headphones,"Rs  12,000","Rs  8,499",,
Anker Soundcore Life Q30 | Bluetooth Noise Cancelling Headphones,"Rs  40,000","Rs  21,999",,
Apple AirPods Max,"Rs  184,000","Rs  144,999",,
Apple AirPods Max 2 (2024),"Rs  200,000","Rs  183,999",,
Westpoint TWS Earbuds WP-110,"Rs  9,900","Rs  6,199",,
Westpoint WP-101 Bluetooth Earbuds,"Rs  4,000","Rs  2,449",,
Westpoint WP-200 Wireless Headphones,"Rs  9,000","Rs  5,349",,
SiGMA Elite Class Bluetooth Headset SBH-10,"Rs  2,500","Rs  1,350",,
SIGMA Wireless EarBuds WAVE T2 TWS,"Rs  6,599","Rs  4,599",,
SiGMA T6 TWS Wireless Earbuds,"Rs  6,999","Rs  4,699",,
1HORA TWS Bluetooth Frosted Earbuds,"Rs  6,499","Rs  3,199",,
Marshall Minor III Buds,"Rs  40,000","Rs  32,999",,
Marshall Minor IV Earbuds,"Rs  46,000","Rs  38,999",,
Amazon Echo Buds,"Rs  30,000","Rs  23,899",,
Mcdodo HP-329 Wireless Earbuds,"Rs  6,000","Rs  4,249",,
Mcdodo HP-004 Wireless Earbuds,"Rs  5,000","Rs  3,249",,
HiFuture Flybuds 3 True Wireless Earphones,"Rs  10,000","Rs  8,299",,
Baseus AeQur G10 True Wireless Earphones,"Rs  15,000","Rs  12,999",,
Realme buds air 6 Anc,"Rs  20,000","Rs  14,799",,
Joyroom True Wireless Earphones Dual-Mic ENC (JR-TL11),"Rs  6,500","Rs  4,799",5.0,2
Joyroom Magnetic Neck Sports Bluetooth (JR-DY02),"Rs  4,499","Rs  3,899",5.0,1
Joyroom Cozydots Series JR-TS1 True Wireless Earbuds,"Rs  12,000","Rs  9,299",,
QCY Ailybuds Lite Earbuds,"Rs  7,000","Rs  4,549",,
Amgras Future V Pro TWS Bluetooth earbuds,"Rs  4,000","Rs  2,399",,
